[Eight, Ace, Seven, Joker, Seven] Three 301
[Six, Six, Three, Six, Three] FullHouse 302
[Six, Eight, Ten, Ten, Joker] Three 778
[Five, Queen, Eight, Eight, Five] TwoPair 66
[Two, Four, King, Joker, Three] OnePair 229
[Five, Ace, Six, Eight, King] HighCard 731
[Ace, Seven, Nine, Ace, Seven] TwoPair 906
[Queen, Queen, Queen, Ace, Queen] Four 698
[Joker, Three, Four, Ace, Joker] Three 109
[Ten, Ten, Ten, Ten, Joker] Five 503
[Three, Joker, Five, Two, Eight] OnePair 183
[Five, Ace, Five, Ace, Ace] FullHouse 598
[Five, Ace, Ace, Ace, Ace] Four 782
[Ten, Ten, Seven, Seven, Joker] FullHouse 968
[Two, Four, Queen, Six, Two] OnePair 178
[Ten, Six, King, Seven, Ace] HighCard 811
[Nine, Nine, Seven, Eight, Eight] TwoPair 53
[Four, Nine, Four, King, Six] OnePair 560
[Seven, Joker, Queen, Eight, Seven] Three 327
[Queen, Nine, Queen, Queen, Queen] Four 597
[Four, Nine, Six, Queen, Two] HighCard 392
[Two, Two, Five, Two, King] Three 995
[Queen, Eight, Five, Ten, Ace] HighCard 2
[King, Ten, Six, Six, Queen] OnePair 165
[Three, Eight, Three, Ten, Six] OnePair 509
[Nine, Nine, Nine, Seven, Queen] Three 724
[Four, Ten, Ten, Four, Ten] FullHouse 368
[Three, Five, Ten, Queen, Ace] HighCard 707
[Three, Three, Five, Three, Four] Three 24
[King, King, King, Joker, Four] Four 469
[Ace, Nine, Ten, Ace, Ace] Three 830
[Ace, Four, Four, Five, Ace] TwoPair 481
[Three, Queen, Six, Three, Queen] TwoPair 192
[Ace, Ace, Ten, Ace, Ten] FullHouse 680
[Two, Two, Two, Five, Joker] Four 436
[Queen, Four, Eight, Six, Nine] HighCard 471
[Ace, Four, Joker, Ace, Four] FullHouse 330
[Five, King, Three, Five, Ten] OnePair 545
[Ten, King, Three, Ace, Four] HighCard 877
[Eight, King, Six, Two, Joker] OnePair 596
[Nine, Queen, Seven, Ten, Eight] HighCard 582
[Eight, Nine, Eight, King, King] TwoPair 813
[Five, Ace, Joker, Joker, Ace] Four 504
[Ten, Five, Ten, King, Queen] OnePair 289
[Six, Ten, Eight, Eight, Queen] OnePair 359
[Ace, Eight, Ace, Ace, Joker] Four 526
[Three, Nine, Three, Joker, Three] Four 817
[Queen, Two, Queen, Two, Two] FullHouse 212
[Queen, Eight, Queen, Two, Two] TwoPair 89
[Two, Six, Five, Ten, Eight] HighCard 757
[Queen, Two, Five, Eight, Four] HighCard 807
[Ten, Three, Three, Ten, Ten] FullHouse 853
[Ten, Two, Two, Ten, Ace] TwoPair 391
[Four, Six, Nine, Nine, Nine] Three 61
[Nine, Ace, Ace, Nine, Joker] FullHouse 57
[Six, Ten, Five, Three, Eight] HighCard 674
[Three, Ten, Two, Five, Three] OnePair 271
[Six, Three, Ten, Ace, Joker] OnePair 395
[Three, Four, Nine, Four, Three] TwoPair 323
[Six, Queen, Queen, Queen, Queen] Four 497
[Ten, Ace, Seven, Five, King] HighCard 938
[Four, Ten, Four, Six, Seven] OnePair 141
[Three, Six, Ace, Queen, King] HighCard 197
[Eight, Eight, Four, Ace, Four] TwoPair 228
[Seven, Seven, Two, Seven, Seven] Four 453
[Ace, Queen, Eight, Five, Four] HighCard 50
[Queen, Five, Six, Queen, Joker] Three 456
[Ten, Four, Ten, King, Ten] Three 319
[King, Six, Three, Queen, Four] HighCard 30
[Seven, Nine, Seven, Nine, Three] TwoPair 110
[Ace, Joker, King, Queen, Six] OnePair 421
[Two, Two, Two, Seven, Eight] Three 996
[Two, Two, Two, Ten, Ten] FullHouse 357
[Four, Two, Joker, Seven, Four] Three 647
[Queen, Four, Queen, Ace, Ten] OnePair 634
[Six, Six, Five, Seven, Four] OnePair 951
[Two, King, King, Two, Two] FullHouse 446
[Queen, Six, Five, Queen, Three] OnePair 533
[Seven, Seven, Eight, Eight, Seven] FullHouse 267
[Five, Eight, Five, Three, Three] TwoPair 719
[Two, Eight, Seven, King, Nine] HighCard 51
[Queen, Five, Six, Five, Six] TwoPair 199
[Five, Six, Four, Ace, Queen] HighCard 106
[Queen, Joker, Five, Seven, Nine] OnePair 77
[Nine, Seven, Three, Two, Ten] HighCard 46
[Joker, Ace, King, Two, Three] OnePair 808
[Six, Eight, Eight, King, Eight] Three 364
[Ace, Nine, Nine, Three, Ace] TwoPair 651
[Queen, Nine, Queen, Queen, Nine] FullHouse 93
[Seven, Four, Seven, Seven, Seven] Four 929
[Queen, Ten, Seven, Two, Two] OnePair 723
[Seven, Six, Queen, Ace, Queen] OnePair 621
[Eight, King, Eight, Three, Six] OnePair 573
[Seven, Seven, Five, Five, Seven] FullHouse 783
[Ace, Five, Five, Five, Five] Four 65
[Ten, Ten, Ten, Six, Ten] Four 643
[Eight, Three, Five, Nine, Five] OnePair 933
[Joker, Three, Joker, Nine, Seven] Three 734
[Joker, Ten, Ten, Ace, Three] Three 87
[Ten, Ten, Ace, Queen, Ace] TwoPair 282
[Ace, Five, Five, Five, Ace] FullHouse 765
[Four, Ten, Queen, Ten, Ten] Three 538
[Ten, Seven, Seven, Seven, Queen] Three 763
[Ten, Eight, Two, Joker, Nine] OnePair 63
[Eight, Three, Three, Five, Nine] OnePair 213
[Ace, Queen, Queen, Ace, Queen] FullHouse 363
[Four, Seven, Ace, Ten, Nine] HighCard 311
[Nine, Six, Ace, Nine, Ten] OnePair 310
[King, Five, Ten, King, Five] TwoPair 450
[Ace, Ten, King, King, Eight] OnePair 429
[Seven, King, Seven, Seven, Seven] Four 541
[Five, Ten, Joker, Ace, King] OnePair 987
[King, Ace, Queen, Seven, Three] HighCard 687
[Ten, Ten, Ace, Ten, Ace] FullHouse 874
[Joker, Four, Ten, Joker, Two] Three 857
[Six, Six, Six, King, King] FullHouse 204
[Ace, Ace, Seven, Seven, Seven] FullHouse 990
[Joker, Nine, Eight, Ace, Eight] Three 946
[Seven, Ace, Nine, Five, Ace] OnePair 288
[Three, King, Two, King, Three] TwoPair 820
[Seven, Nine, King, Four, Two] HighCard 112
[Ace, Six, Five, King, Ten] HighCard 300
[Five, Nine, Six, Ten, Eight] HighCard 266
[Joker, Five, Six, Six, Four] Three 585
[Seven, Five, Five, Eight, Five] Three 964
[Seven, Three, Ace, Ten, Two] HighCard 491
[Two, Joker, Two, King, Ten] Three 375
[Six, Eight, Eight, Eight, Ten] Three 480
[Ace, Five, Seven, Six, Five] OnePair 992
[King, King, Five, Five, Five] FullHouse 224
[Ace, Ten, Two, Ten, Ace] TwoPair 514
[Ten, Ten, Ten, Ten, Queen] Four 753
[Queen, Four, Three, Four, Eight] OnePair 273
[King, King, Six, Six, King] FullHouse 887
[Four, Four, Joker, Queen, Nine] Three 67
[Queen, Three, Three, Nine, Queen] TwoPair 341
[Eight, Three, Three, Queen, Eight] TwoPair 574
[King, Four, Five, Six, Ten] HighCard 766
[Joker, Nine, Eight, King, King] Three 209
[King, Four, Six, Four, Four] Three 328
[Four, Three, Nine, Three, Five] OnePair 79
[Eight, Eight, Four, Eight, King] Three 380
[King, Two, Two, Ace, Two] Three 834
[Eight, Six, Five, Four, Queen] HighCard 703
[Four, King, Two, Ace, Ten] HighCard 96
[King, Two, Seven, Six, Joker] OnePair 863
[Eight, King, Six, Four, Joker] OnePair 320
[Ace, Ace, Ace, Seven, Ace] Four 571
[Seven, Two, Seven, Four, Seven] Three 950
[Four, Ace, Four, Queen, Nine] OnePair 120
[Six, Six, Six, Three, Six] Four 814
[Three, Three, Six, Three, Seven] Three 881
[King, King, Two, Ace, King] Three 895
[Joker, Eight, Six, Seven, Seven] Three 851
[Ace, Four, Eight, Ace, Eight] TwoPair 430
[Five, Six, Six, Five, Six] FullHouse 866
[Five, Five, Three, Five, Five] Four 976
[Six, Six, Joker, Seven, Seven] FullHouse 370
[Three, Three, Five, Three, Joker] Four 896
[Five, Six, Five, Five, Six] FullHouse 237
[Three, King, Joker, Five, Queen] OnePair 270
[Joker, Two, Two, Joker, Two] Five 261
[Ace, Joker, Two, Ace, Ace] Four 163
[Joker, Joker, Joker, Joker, Joker] Five 517
[Four, Eight, Ace, Two, Eight] OnePair 819
[King, Four, Four, Four, Three] Three 799
[Ten, Joker, Ten, Joker, Five] Four 345
[Ten, Three, King, Nine, Joker] OnePair 868
[Four, Nine, Ace, Joker, Nine] Three 605
[Four, Five, Four, Five, Five] FullHouse 741
[King, Joker, Joker, King, King] Five 754
[Six, Three, Three, Three, Three] Four 789
[Seven, Six, Six, Seven, Seven] FullHouse 989
[Ace, Joker, Seven, Seven, Four] Three 264
[Joker, King, Joker, Two, Ace] Three 531
[Ten, Queen, Queen, Queen, Ten] FullHouse 809
[Queen, Six, King, Joker, Six] Three 411
[King, Queen, King, Seven, Queen] TwoPair 704
[Two, Ace, Four, Queen, Five] HighCard 410
[Six, Eight, King, King, Eight] TwoPair 652
[Eight, King, Nine, Three, Eight] OnePair 194
[Seven, Two, Joker, Two, Two] Four 242
[Nine, Joker, Six, Seven, Two] OnePair 43
[Seven, Queen, Six, Queen, Five] OnePair 903
[Six, Four, Six, Six, Six] Four 95
[Joker, Two, Three, Seven, Two] Three 798
[Ace, Two, Six, Three, Ten] HighCard 781
[Joker, King, Five, Nine, Eight] OnePair 909
[Five, Five, Joker, Nine, Two] Three 625
[Ace, Two, Five, Six, Seven] HighCard 343
[Four, Ace, Seven, Ace, Seven] TwoPair 174
[Eight, King, Ace, Three, Joker] OnePair 68
[Joker, Queen, Ten, Queen, Three] Three 528
[Seven, Four, Four, Four, Four] Four 127
[Queen, Ace, Five, Ace, Ten] OnePair 306
[Ten, Nine, King, Seven, Ten] OnePair 254
[Seven, Five, Ten, Ten, Seven] TwoPair 166
[Eight, Three, Three, Eight, Eight] FullHouse 325
[Eight, Eight, Eight, Queen, Eight] Four 982
[Eight, Queen, Seven, Ace, Six] HighCard 84
[Two, King, Seven, Joker, Ace] OnePair 663
[Ten, Nine, Nine, Five, Nine] Three 937
[Three, King, Ace, Eight, Seven] HighCard 921
[Four, King, Joker, Nine, Two] OnePair 786
[Two, Eight, Ace, Eight, Three] OnePair 442
[Nine, Nine, Ten, Eight, Joker] Three 699
[Ten, King, King, King, King] Four 457
[Two, Five, Five, Five, Two] FullHouse 431
[Ten, Ten, Ace, Ten, King] Three 862
[Queen, Joker, Queen, King, King] FullHouse 664
[Queen, Joker, Queen, Queen, Nine] Four 552
[Ten, Four, Joker, Seven, Seven] Three 206
[Queen, Seven, Seven, Seven, Seven] Four 352
[Queen, Joker, Seven, Four, Seven] Three 534
[Nine, King, Nine, King, King] FullHouse 656
[Four, Four, Six, Four, Six] FullHouse 479
[Five, Ten, Six, Four, Queen] HighCard 455
[Queen, Queen, Queen, Queen, King] Four 475
[Seven, Three, Four, Seven, Eight] OnePair 827
[Queen, Three, Joker, Three, Three] Four 975
[Queen, Six, Five, Five, Queen] TwoPair 930
[Seven, Ten, Seven, Ten, Seven] FullHouse 231
[Five, Three, Ace, Seven, Two] HighCard 409
[Three, Three, Three, Three, Ace] Four 833
[Two, Nine, Nine, Two, Eight] TwoPair 787
[Nine, Seven, Joker, Five, Eight] OnePair 307
[Ten, Two, Five, Five, Five] Three 673
[Queen, Four, Four, Ace, Five] OnePair 382
[Joker, Five, Ace, Five, Seven] Three 144
[Seven, Joker, Four, Four, Seven] FullHouse 131
[Eight, King, King, Nine, Nine] TwoPair 600
[Nine, Nine, Five, Five, Five] FullHouse 349
[Four, Three, Six, Eight, Two] HighCard 205
[Six, Three, Two, Five, Nine] HighCard 518
[Ace, Ace, Three, Ace, Eight] Three 591
[Joker, Four, Four, Four, Joker] Five 58
[Five, Two, Joker, Two, Three] Three 772
[Five, King, King, Three, King] Three 660
[Five, King, Ten, Two, King] OnePair 329
[Five, Four, King, Six, King] OnePair 252
[Four, Nine, Joker, Two, Four] Three 864
[Six, Seven, Three, Queen, Five] HighCard 780
[Ten, Ten, Eight, Four, Eight] TwoPair 333
[Two, Two, Seven, Ace, Five] OnePair 424
[Joker, Ten, Nine, Joker, Five] Three 675
[Seven, King, Nine, Queen, Joker] OnePair 825
[Seven, Three, Two, Queen, Seven] OnePair 461
[Two, Four, Three, Four, Three] TwoPair 859
[Ten, Joker, Three, Three, Three] Four 604
[Ten, Three, Three, Ace, Joker] Three 149
[King, Joker, Five, King, King] Four 129
[Five, Four, Five, Five, Five] Four 249
[Two, Five, Two, Two, Two] Four 3
[Ten, Queen, Joker, Ace, Three] OnePair 38
[Seven, Queen, Seven, Queen, Seven] FullHouse 460
[Nine, Nine, Nine, Joker, Four] Four 557
[Joker, Six, Seven, Six, Six] Four 831
[King, Four, King, King, King] Four 185
[Three, Six, Three, King, Three] Three 566
[King, Eight, Eight, Eight, Joker] Four 885
[Five, Five, Eight, Five, Five] Four 488
[Nine, Seven, Nine, Seven, Nine] FullHouse 565
[Two, Five, Nine, Seven, Ten] HighCard 493
[Seven, Seven, Four, Five, Six] OnePair 233
[Queen, Nine, Queen, Five, Queen] Three 202
[Nine, Nine, King, Two, Three] OnePair 98
[Six, Three, Seven, Six, Three] TwoPair 7
[Ten, Queen, Four, Nine, Eight] HighCard 849
[Seven, Four, Six, Two, Six] OnePair 590
[King, Four, Four, King, King] FullHouse 73
[Nine, Ace, Ace, Nine, Seven] TwoPair 498
[Queen, Six, Six, Nine, Six] Three 706
[Nine, Five, Five, Five, Five] Four 697
[Six, Nine, Nine, Six, Nine] FullHouse 670
[Joker, Queen, Two, Nine, Four] OnePair 203
[Two, Four, Two, Four, Six] TwoPair 425
[Six, Queen, Joker, Six, Ace] Three 16
[Ace, Queen, Ace, Ace, Ace] Four 916
[Six, King, Six, Joker, King] FullHouse 313
[Nine, Ace, King, Nine, Nine] Three 41
[Four, Ten, Six, Joker, Five] OnePair 219
[Six, Queen, Six, Ten, Six] Three 549
[Nine, Six, Nine, Nine, Nine] Four 983
[Seven, Nine, Nine, Seven, Seven] FullHouse 522
[Five, Seven, Queen, Eight, Ace] HighCard 732
[Ace, Queen, Six, Ace, Queen] TwoPair 156
[Two, Eight, Four, Queen, Six] HighCard 351
[King, Eight, Eight, King, Joker] FullHouse 123
[Five, Seven, Ace, Eight, Ace] OnePair 606
[Four, Joker, Nine, Seven, Queen] OnePair 592
[Five, Joker, Ten, Queen, Three] OnePair 369
[Ace, Four, Six, Seven, Ten] HighCard 742
[Two, Eight, Seven, Eight, Joker] Three 669
[King, King, Ace, Joker, Six] Three 668
[Ten, Five, Ten, Ten, Ten] Four 570
[Eight, Ace, Ace, Eight, Eight] FullHouse 665
[Three, Two, Three, Eight, Ace] OnePair 428
[Six, Seven, Two, Eight, Six] OnePair 979
[Eight, Eight, Five, Eight, Five] FullHouse 997
[Ten, Six, Eight, Six, Six] Three 132
[Eight, Eight, Ten, Eight, Three] Three 912
[Six, Eight, Eight, Eight, Eight] Four 832
[Ace, Nine, Five, Ten, King] HighCard 371
[Ten, Eight, Queen, Three, Three] OnePair 167
[Three, Three, Three, King, Eight] Three 286
[King, King, Eight, Eight, Eight] FullHouse 722
[Seven, Ten, Ace, King, Seven] OnePair 281
[Ace, Seven, Joker, Seven, Seven] Four 216
[Nine, Ten, Eight, Five, Queen] HighCard 969
[Five, Four, Four, Four, Four] Four 918
[Seven, Seven, Eight, Two, Two] TwoPair 151
[Nine, King, Joker, Two, Ten] OnePair 759
[Queen, Eight, Four, Eight, Three] OnePair 536
[Nine, Joker, Joker, Ace, Nine] Four 788
[Joker, Eight, Queen, Eight, Ten] Three 272
[Two, Seven, King, Joker, Queen] OnePair 958
[Seven, Six, Six, Six, Six] Four 671
[Five, Ten, Nine, Three, Two] HighCard 182
[Eight, Eight, Seven, Ten, Four] OnePair 628
[Six, Four, Nine, Nine, Ten] OnePair 607
[Four, Four, Seven, Queen, Four] Three 718
[Nine, Seven, Three, Six, Joker] OnePair 716
[Ace, Queen, Joker, Ace, Queen] FullHouse 611
[Ten, Four, Nine, Three, Three] OnePair 690
[Three, Ten, Joker, Ace, Joker] Three 923
[King, Seven, Seven, Two, Two] TwoPair 412
[Seven, Seven, Seven, Three, Seven] Four 22
[Seven, Seven, Five, Ace, Queen] OnePair 812
[Five, Queen, King, Queen, Five] TwoPair 362
[Four, Four, Eight, Ten, Eight] TwoPair 114
[Ace, Seven, Ace, Seven, Ace] FullHouse 502
[Four, Queen, Four, Six, Six] TwoPair 583
[Seven, Four, Seven, Four, Four] FullHouse 749
[Seven, Three, Six, Three, Joker] Three 939
[Eight, Eight, Three, Eight, Eight] Four 59
[Queen, Three, King, Queen, Ten] OnePair 861
[Four, Two, Two, Two, Two] Four 794
[Nine, Six, Six, Six, Nine] FullHouse 294
[Five, Four, Nine, Five, Nine] TwoPair 378
[Ten, Ten, Ten, Ten, Ace] Four 544
[Seven, Nine, Six, Joker, Ace] OnePair 867
[Nine, Two, King, King, Nine] TwoPair 238
[Nine, Ten, Joker, Ten, Nine] FullHouse 848
[Eight, Ace, Two, Ace, Two] TwoPair 309
[Six, Eight, Seven, King, Three] HighCard 515
[King, Ten, King, King, Ten] FullHouse 610
[Joker, Eight, Six, Five, Nine] OnePair 210
[Two, Two, King, Four, King] TwoPair 423
[Five, Eight, Six, Queen, Nine] HighCard 55
[Ace, Ace, Ace, Seven, King] Three 599
[Three, Three, Joker, Seven, Three] Four 198
[King, Seven, Four, King, Joker] Three 936
[Five, Five, Joker, Joker, Five] Five 943
[Queen, Six, Queen, Joker, Queen] Four 801
[Five, Four, Three, Five, Joker] Three 137
[Queen, Joker, Five, Queen, Queen] Four 553
[Ace, Ace, Ace, Seven, Eight] Three 485
[Six, Seven, Six, Seven, Six] FullHouse 404
[Three, Four, King, Three, Three] Three 376
[Eight, Queen, Three, Two, Joker] OnePair 326
[Ace, Six, Six, King, Ace] TwoPair 649
[Five, Two, King, Eight, Queen] HighCard 179
[Ace, Three, Two, Ace, Two] TwoPair 561
[Joker, Ten, Queen, Joker, Queen] Four 645
[Five, Nine, King, King, Seven] OnePair 11
[Six, Seven, Six, Three, Queen] OnePair 189
[King, King, King, Eight, Eight] FullHouse 426
[Eight, King, Ten, Joker, Eight] Three 681
[Two, Two, Two, Two, Ten] Four 767
[King, King, Five, Joker, Seven] Three 372
[Queen, Queen, Queen, Five, Seven] Three 942
[Seven, Ace, Seven, Two, Joker] Three 904
[Two, Two, Two, Two, Joker] Five 467
[Seven, King, Queen, Queen, Queen] Three 186
[Joker, Three, Nine, Nine, Three] FullHouse 629
[Seven, Three, Four, Three, Seven] TwoPair 952
[Eight, Ace, Three, Seven, Ten] HighCard 771
[Nine, Six, Six, Joker, Nine] FullHouse 752
[Four, King, Ten, Two, Nine] HighCard 710
[Eight, Two, Three, Seven, Eight] OnePair 840
[Four, Queen, Ten, Seven, Two] HighCard 785
[Three, Six, Two, Nine, Ten] HighCard 934
[Joker, Ten, King, Seven, Seven] Three 977
[King, King, Queen, Three, Three] TwoPair 915
[Four, Two, Four, Two, Ace] TwoPair 744
[Ten, Queen, Ace, Nine, Ace] OnePair 215
[Ace, Six, Six, Six, Six] Four 854
[Two, Three, Three, Three, Three] Four 170
[Ten, Ten, Ten, Nine, Ten] Four 587
[Joker, Three, Three, Seven, Seven] FullHouse 34
[Six, Joker, Joker, Six, Six] Five 835
[Ace, Three, Ace, Ace, Ace] Four 897
[Nine, Six, Nine, Three, Six] TwoPair 427
[Eight, Joker, Joker, Joker, Four] Four 686
[Three, Two, Three, Three, Two] FullHouse 173
[Queen, Joker, Eight, Six, Eight] Three 640
[Six, Seven, Three, Eight, Eight] OnePair 111
[Eight, Eight, Nine, Eight, Eight] Four 613
[Four, Ten, Joker, Ten, Ten] Four 435
[Ten, Nine, Eight, Eight, Ten] TwoPair 702
[King, Five, Nine, King, Five] TwoPair 894
[Queen, Eight, Queen, Eight, Eight] FullHouse 688
[Five, Queen, Eight, Four, Seven] HighCard 347
[Nine, Joker, Five, Nine, Nine] Four 154
[Nine, Five, Eight, King, Six] HighCard 462
[Ace, Ace, Queen, Queen, Ace] FullHouse 959
[Joker, King, Joker, King, Queen] Four 846
[Seven, Nine, Nine, Two, Ten] OnePair 72
[Nine, Eight, Nine, Nine, Ace] Three 510
[Two, Two, Queen, Two, Two] Four 389
[Nine, Three, Nine, Joker, Seven] Three 971
[Joker, Four, King, Four, Ace] Three 367
[Ten, Ten, Seven, Ten, Queen] Three 816
[King, King, King, Ten, Three] Three 297
[Nine, Seven, King, King, Six] OnePair 793
[Seven, Queen, Queen, Queen, Seven] FullHouse 824
[Ace, Ten, Queen, Queen, Ace] TwoPair 102
[Joker, Five, Nine, Seven, King] OnePair 797
[Seven, Eight, Joker, Eight, Eight] Four 473
[Eight, Seven, Ace, Eight, Seven] TwoPair 42
[Eight, Two, Eight, Ace, Seven] OnePair 527
[King, Eight, Seven, Seven, Seven] Three 107
[Eight, Nine, Six, Three, Joker] OnePair 949
[Two, Nine, Three, Nine, Nine] Three 998
[Three, Ten, King, Ace, Eight] HighCard 190
[Three, Ten, Queen, Six, Six] OnePair 889
[Joker, Joker, Five, Ten, Five] Four 985
[Joker, Five, Six, Six, Ten] Three 568
[Ten, Three, Eight, King, Two] HighCard 815
[Two, Joker, Five, King, Ace] OnePair 646
[Ace, Eight, Joker, Three, Two] OnePair 184
[Six, Two, Two, Queen, Six] TwoPair 777
[Ten, King, Seven, Queen, Ten] OnePair 26
[Four, Seven, Seven, Six, Six] TwoPair 790
[Two, Joker, Five, Queen, Six] OnePair 932
[Nine, King, Nine, Six, Nine] Three 878
[Eight, Two, Two, Three, Five] OnePair 64
[Three, Ace, Three, Joker, King] Three 152
[Four, Nine, Four, Nine, Four] FullHouse 540
[Seven, Joker, Joker, Joker, Seven] Five 350
[Three, Nine, Two, Three, Three] Three 437
[Five, Four, Six, Six, Queen] OnePair 239
[Queen, Three, Queen, Queen, Queen] Four 961
[Ace, Eight, Joker, Five, Queen] OnePair 623
[Queen, Three, Three, Three, Three] Four 739
[Four, Ten, Three, Nine, Six] HighCard 90
[Two, Five, Ten, Two, Joker] Three 284
[Ten, King, Seven, Ten, Three] OnePair 9
[Five, Five, Five, Five, King] Four 993
[Joker, Two, Six, Six, Six] Four 383
[Two, Two, Two, Nine, Two] Four 250
[Joker, Five, Ten, Nine, Five] Three 478
[Two, Two, Ten, Two, Nine] Three 226
[Two, Four, Two, Four, Two] FullHouse 126
[Nine, Nine, Nine, Three, Nine] Four 121
[Seven, Three, Three, Seven, Three] FullHouse 414
[Seven, Eight, Queen, Nine, Two] HighCard 738
[Ace, Five, Three, Six, Two] HighCard 826
[Three, King, King, Two, Joker] Three 756
[Seven, Seven, Eight, Seven, Seven] Four 291
[Ten, Nine, Ten, Ten, Nine] FullHouse 879
[Three, Joker, Joker, Ten, Ten] Four 145
[Three, Ten, Three, Six, Three] Three 524
[Six, Queen, Six, Queen, Queen] FullHouse 619
[Queen, Two, Queen, Queen, Queen] Four 8
[Eight, Joker, Five, Eight, Joker] Four 967
[Six, Five, King, Joker, King] Three 398
[King, Ten, Ace, Two, Ten] OnePair 464
[Ten, Seven, Joker, Joker, Joker] Four 922
[Four, Four, Eight, Eight, Eight] FullHouse 948
[Two, King, Joker, Two, King] FullHouse 755
[Six, Three, Eight, Five, Eight] OnePair 353
[Four, Nine, King, Four, Ten] OnePair 483
[Five, Eight, Three, Three, Joker] Three 180
[Six, Two, Eight, Two, Two] Three 105
[Nine, Nine, Joker, King, Nine] Four 635
[Queen, Ace, Joker, Ace, Ace] Four 962
[Nine, Seven, Seven, Ten, Five] OnePair 691
[Six, Five, Five, King, King] TwoPair 274
[Nine, Nine, Six, Six, Ace] TwoPair 393
[Five, Five, Joker, Five, Ten] Four 303
[Two, Eight, Four, King, Five] HighCard 589
[Two, Seven, Six, Three, Six] OnePair 872
[King, Two, Nine, King, King] Three 774
[King, Nine, Joker, Joker, Four] Three 792
[Six, Joker, King, Ten, Ten] Three 108
[Ten, King, Eight, Ten, Joker] Three 745
[Ten, Three, Ace, Seven, King] HighCard 400
[Nine, Joker, Three, Ten, Queen] OnePair 901
[Ace, Ten, Joker, King, King] Three 917
[Six, Six, Six, Ace, Five] Three 448
[Ace, Five, Ace, Ten, Six] OnePair 588
[Six, Ten, Four, Joker, Six] Three 822
[Queen, Nine, Ace, Nine, Ace] TwoPair 260
[Five, Nine, Four, Joker, Three] OnePair 241
[Queen, Three, Ace, Three, Four] OnePair 279
